(-2479.853250358749, -6457.3510766343425, 1743.4868390056795)
(-2481.577915366648, -6458.632821094907, 1736.3227815691118)
(-2483.2998523004717, -6459.907466812205, 1729.1568141223552)
(-2485.0190615722913, -6461.175014097179, 1721.988934998596)
(-2486.7355386192417, -6462.4354595968125, 1714.8191632617966)
(-2488.44928309149, -6463.688803067748, 1707.6475004370768)
(-2490.1602923476703, -6464.935042591223, 1700.4739576228142)
(-2491.868565655475, -6466.174177642784, 1693.2985379389943)
(-2493.5740996236977, -6467.406205774274, 1686.1212556806222)
(-2495.276893901281, -6468.631126744227, 1678.9421123746638)
(-2496.9769454862067, -6469.848938402995, 1671.761120725679)
(-2498.6742528954023, -6471.059639701934, 1664.5782870537407)
(-2500.3688138933517, -6472.263229060087, 1657.3936208758312)
(-2502.060627754188, -6473.459705972145, 1650.2071253174802)
(-2503.7496918703005, -6474.649068602929, 1643.018811497532)
(-2505.4360036411267, -6475.83131513801, 1635.8286905408347)
(-2507.1195619736122, -6477.006444825469, 1628.6367671751639)
(-2508.8003653980436, -6478.174456649835, 1621.4430477284964)
(-2510.4784124439275, -6479.335349597456, 1614.2475385303746)
(-2512.1536990356976, -6480.489120865189, 1607.0502571182126)
(-2513.82622594952, -6481.635771001046, 1599.8512002194439)
(-2515.4959894916033, -6482.7752974848545, 1592.650383777836)
(-2517.162989320341, -6483.907700095521, 1585.4478093239566)
(-2518.827222497493, -6485.032976848059, 1578.243489603668)
(-2520.488687201423, -6486.151126528514, 1571.0374325615096)
(-2522.1473823534357, -6487.262148423058, 1563.8296429347652)
(-2523.803306135741, -6488.366041323853, 1556.6201286682779)
(-2525.456455997649, -6489.462803544842, 1549.4089009182737)
(-2527.1068301326213, -6490.552433903292, 1542.1959676344638)
(-2528.7544278336536, -6491.634931944793, 1534.981331955222)
(-2530.3992458316147, -6492.710295534744, 1527.7650082529337)
(-2532.041283789602, -6493.77852446652, 1520.5469980620826)
(-2533.6805380840356, -6494.839616399097, 1513.3273173689345)
(-2535.31700947286, -6495.893571834606, 1506.105962889757)
(-2536.950693616112, -6496.940387989936, 1498.8829538287457)
(-2538.5815901807987, -6497.980064669677, 1491.6582917232051)
(-2540.2096970183766, -6499.012600516419, 1484.4319861439442)
(-2541.8350123470227, -6500.03799441441, 1477.20404505713)
(-2543.4575343880274, -6501.056245255796, 1469.9744764307347)
(-2545.0772613657928, -6502.0673519407, 1462.7432882344763)
(-2546.694191867101, -6503.07131359974, 1455.510486830892)
(-2548.3083230448096, -6504.068128481279, 1448.2760850200948)
(-2549.9196542104587, -6505.057796176925, 1441.0400859502033)
(-2551.5281828842826, -6506.040315178281, 1433.8025008169184)
(-2553.133908735684, -6507.015685294618, 1426.5633311578833)
(-2554.736827863968, -6507.983904172175, 1419.3225946155808)
(-2556.3369399444437, -6508.944971632776, 1412.0802927295952)
(-2557.93424251394, -6509.898886212753, 1404.8364367060635)
(-2559.528734891041, -6510.8456475177445, 1397.5910296948398)
(-2561.1204142653505, -6511.785253893459, 1390.344084518266)
(-2562.7092792514823, -6512.717704538732, 1383.0956075527781)
(-2564.2953277571637, -6513.642998244481, 1375.8456084029654)
(-2565.87855910737, -6514.561134628797, 1368.5940902201169)
(-2567.4589708629314, -6515.472112290198, 1361.3410642238425)
(-2569.036560242777, -6516.3759296475355, 1354.0865432514463)
(-2570.611327627714, -6517.272586934344, 1346.8305256169615)
(-2572.183269892757, -6518.16208238335, 1339.573025773584)
(-2573.752385667849, -6519.044415238484, 1332.31405010878)
(-2575.318672541437, -6519.9195841631945, 1325.053609853983)
(-2576.8821308908623, -6520.787589379666, 1317.7917033199587)
(-2578.442756568536, -6521.648428601781, 1310.5283498205204)
(-2580.0005496067984, -6522.5021018641055, 1303.2635492823529)
